Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1967,1967,kg/ha,2.04,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1968,1968,kg/ha,2.32,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1969,1969,kg/ha,2.53,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1970,1970,kg/ha,3.28,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1971,1971,kg/ha,3.39,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1972,1972,kg/ha,3.52,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1973,1973,kg/ha,3.91,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1974,1974,kg/ha,2.83,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1975,1975,kg/ha,2.8,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1976,1976,kg/ha,3.84,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1977,1977,kg/ha,5.25,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1978,1978,kg/ha,6.66,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1979,1979,kg/ha,6.94,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1980,1980,kg/ha,7.32,E,Estimated value
EF,Fertilizers indicators,356,India,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),1981,1981,kg/ha,7.95,E,Estimated value
