Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1971,1971,3050,FAO TIER 1,kilotonnes,7.4429,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1971,1971,3050,FAO TIER 1,kilotonnes,40.5223,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1971,1971,3050,FAO TIER 1,kilotonnes,10738.4157,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1971,1971,3050,FAO TIER 1,kilotonnes,10738.4157,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1972,1972,3050,FAO TIER 1,kilotonnes,32.0897,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1972,1972,3050,FAO TIER 1,kilotonnes,7.2202,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1972,1972,3050,FAO TIER 1,kilotonnes,39.3099,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1972,1972,3050,FAO TIER 1,kilotonnes,10417.1239,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1972,1972,3050,FAO TIER 1,kilotonnes,10417.1239,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1973,1973,3050,FAO TIER 1,kilotonnes,34.4628,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1973,1973,3050,FAO TIER 1,kilotonnes,7.7541,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1973,1973,3050,FAO TIER 1,kilotonnes,42.217,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1973,1973,3050,FAO TIER 1,kilotonnes,11187.4932,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1973,1973,3050,FAO TIER 1,kilotonnes,11187.4932,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1974,1974,3050,FAO TIER 1,kilotonnes,32.1301,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1974,1974,3050,FAO TIER 1,kilotonnes,7.2293,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1974,1974,3050,FAO TIER 1,kilotonnes,39.3594,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1974,1974,3050,FAO TIER 1,kilotonnes,10430.2402,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1974,1974,3050,FAO TIER 1,kilotonnes,10430.2402,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1975,1975,3050,FAO TIER 1,kilotonnes,35.6503,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1975,1975,3050,FAO TIER 1,kilotonnes,8.0213,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1975,1975,3050,FAO TIER 1,kilotonnes,43.6716,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1975,1975,3050,FAO TIER 1,kilotonnes,11572.9871,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1975,1975,3050,FAO TIER 1,kilotonnes,11572.9871,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1976,1976,3050,FAO TIER 1,kilotonnes,34.8835,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1976,1976,3050,FAO TIER 1,kilotonnes,7.8488,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1976,1976,3050,FAO TIER 1,kilotonnes,42.7323,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1976,1976,3050,FAO TIER 1,kilotonnes,11324.0506,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1976,1976,3050,FAO TIER 1,kilotonnes,11324.0506,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1977,1977,3050,FAO TIER 1,kilotonnes,37.4821,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1977,1977,3050,FAO TIER 1,kilotonnes,8.4335,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1977,1977,3050,FAO TIER 1,kilotonnes,45.9156,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1977,1977,3050,FAO TIER 1,kilotonnes,12167.6243,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1977,1977,3050,FAO TIER 1,kilotonnes,12167.6243,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1978,1978,3050,FAO TIER 1,kilotonnes,38.4163,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1978,1978,3050,FAO TIER 1,kilotonnes,8.6437,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1978,1978,3050,FAO TIER 1,kilotonnes,47.06,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1978,1978,3050,FAO TIER 1,kilotonnes,12470.8889,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1978,1978,3050,FAO TIER 1,kilotonnes,12470.8889,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1979,1979,3050,FAO TIER 1,kilotonnes,36.3427,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1979,1979,3050,FAO TIER 1,kilotonnes,8.1771,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1979,1979,3050,FAO TIER 1,kilotonnes,44.5198,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1979,1979,3050,FAO TIER 1,kilotonnes,11797.7456,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1979,1979,3050,FAO TIER 1,kilotonnes,11797.7456,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1980,1980,3050,FAO TIER 1,kilotonnes,38.1179,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1980,1980,3050,FAO TIER 1,kilotonnes,8.5765,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1980,1980,3050,FAO TIER 1,kilotonnes,46.6944,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1980,1980,3050,FAO TIER 1,kilotonnes,12374.0177,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1980,1980,3050,FAO TIER 1,kilotonnes,12374.0177,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1981,1981,3050,FAO TIER 1,kilotonnes,39.599,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1981,1981,3050,FAO TIER 1,kilotonnes,8.9098,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1981,1981,3050,FAO TIER 1,kilotonnes,48.5087,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1981,1981,3050,FAO TIER 1,kilotonnes,12854.8154,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1981,1981,3050,FAO TIER 1,kilotonnes,12854.8154,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1982,1982,3050,FAO TIER 1,kilotonnes,37.4135,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1982,1982,3050,FAO TIER 1,kilotonnes,8.418,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1982,1982,3050,FAO TIER 1,kilotonnes,45.8316,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1982,1982,3050,FAO TIER 1,kilotonnes,12145.3695,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1982,1982,3050,FAO TIER 1,kilotonnes,12145.3695,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1983,1983,3050,FAO TIER 1,kilotonnes,42.7628,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1983,1983,3050,FAO TIER 1,kilotonnes,9.6216,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1983,1983,3050,FAO TIER 1,kilotonnes,52.3844,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1983,1983,3050,FAO TIER 1,kilotonnes,13881.8701,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1983,1983,3050,FAO TIER 1,kilotonnes,13881.8701,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1984,1984,3050,FAO TIER 1,kilotonnes,42.5876,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1984,1984,3050,FAO TIER 1,kilotonnes,9.5822,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1984,1984,3050,FAO TIER 1,kilotonnes,52.1698,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1984,1984,3050,FAO TIER 1,kilotonnes,13825.0062,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1984,1984,3050,FAO TIER 1,kilotonnes,13825.0062,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1985,1985,3050,FAO TIER 1,kilotonnes,42.5748,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1985,1985,3050,FAO TIER 1,kilotonnes,9.5793,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1985,1985,3050,FAO TIER 1,kilotonnes,52.1541,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1985,1985,3050,FAO TIER 1,kilotonnes,13820.834,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1985,1985,3050,FAO TIER 1,kilotonnes,13820.834,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1986,1986,3050,FAO TIER 1,kilotonnes,42.6884,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1986,1986,3050,FAO TIER 1,kilotonnes,9.6049,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1986,1986,3050,FAO TIER 1,kilotonnes,52.2933,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1986,1986,3050,FAO TIER 1,kilotonnes,13857.7186,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1986,1986,3050,FAO TIER 1,kilotonnes,13857.7186,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1987,1987,3050,FAO TIER 1,kilotonnes,40.5295,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1987,1987,3050,FAO TIER 1,kilotonnes,9.1191,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1987,1987,3050,FAO TIER 1,kilotonnes,49.6487,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1987,1987,3050,FAO TIER 1,kilotonnes,13156.9001,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1987,1987,3050,FAO TIER 1,kilotonnes,13156.9001,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1988,1988,3050,FAO TIER 1,kilotonnes,45.283,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1988,1988,3050,FAO TIER 1,kilotonnes,10.1887,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1988,1988,3050,FAO TIER 1,kilotonnes,55.4717,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1988,1988,3050,FAO TIER 1,kilotonnes,14699.9896,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1988,1988,3050,FAO TIER 1,kilotonnes,14699.9896,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1989,1989,3050,FAO TIER 1,kilotonnes,47.9999,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1989,1989,3050,FAO TIER 1,kilotonnes,10.8,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1989,1989,3050,FAO TIER 1,kilotonnes,58.7999,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1989,1989,3050,FAO TIER 1,kilotonnes,15581.9745,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1989,1989,3050,FAO TIER 1,kilotonnes,15581.9745,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1990,1990,3050,FAO TIER 1,kilotonnes,47.2684,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1990,1990,3050,FAO TIER 1,kilotonnes,10.6354,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1990,1990,3050,FAO TIER 1,kilotonnes,57.9038,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1990,1990,3050,FAO TIER 1,kilotonnes,15344.5174,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1990,1990,3050,FAO TIER 1,kilotonnes,15344.5174,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1991,1991,3050,FAO TIER 1,kilotonnes,47.1707,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1991,1991,3050,FAO TIER 1,kilotonnes,10.6134,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1991,1991,3050,FAO TIER 1,kilotonnes,57.7841,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1991,1991,3050,FAO TIER 1,kilotonnes,15312.7949,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1991,1991,3050,FAO TIER 1,kilotonnes,15312.7949,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1992,1992,3050,FAO TIER 1,kilotonnes,48.4461,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1992,1992,3050,FAO TIER 1,kilotonnes,10.9004,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1992,1992,3050,FAO TIER 1,kilotonnes,59.3464,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1992,1992,3050,FAO TIER 1,kilotonnes,15726.8022,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1992,1992,3050,FAO TIER 1,kilotonnes,15726.8022,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1993,1993,3050,FAO TIER 1,kilotonnes,49.7264,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1993,1993,3050,FAO TIER 1,kilotonnes,11.1884,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1993,1993,3050,FAO TIER 1,kilotonnes,60.9148,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1993,1993,3050,FAO TIER 1,kilotonnes,16142.4254,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1993,1993,3050,FAO TIER 1,kilotonnes,16142.4254,E,Estimated value,
GT,Emissions Totals,356,India,7234,Direct emissions (N2O),5064,Crop Residues,1994,1994,3050,FAO TIER 1,kilotonnes,50.0962,E,Estimated value,
GT,Emissions Totals,356,India,7236,Indirect emissions (N2O),5064,Crop Residues,1994,1994,3050,FAO TIER 1,kilotonnes,11.2717,E,Estimated value,
GT,Emissions Totals,356,India,7230,Emissions (N2O),5064,Crop Residues,1994,1994,3050,FAO TIER 1,kilotonnes,61.3679,E,Estimated value,
GT,Emissions Totals,356,India,724313,Emissions (CO2eq) from N2O (AR5),5064,Crop Residues,1994,1994,3050,FAO TIER 1,kilotonnes,16262.4925,E,Estimated value,
GT,Emissions Totals,356,India,723113,Emissions (CO2eq) (AR5),5064,Crop Residues,1994,1994,3050,FAO TIER 1,kilotonnes,16262.4925,E,Estimated value,
